796),64.7,4,,ARI-10,
797),51.3,3.2,,NYJ-9,
798),47.8,3,,SEA-11,
799),46,2.9,,SF -9,
800),45.5,2.8,,CHI-6,
1201),42.4,2.7,7,MIN-11,
1202),42,2.6,6,DEN-7,
1203),40.3,2.5,5,CIN-8,
1204),39.3,2.5,5,MIA-7,
1205),39.2,2.5,5,TEN-11,
1206),36.6,2.3,3,NO -6,
1207),36.2,2.3,3,HOU-8,
1208),35,2.2,2,CLE-10,
1209),34.5,2.2,2,STL-9,
1210),31.5,2,0,BAL-8,
1211),31.1,1.9,0,PIT-4,
1212),30.9,1.9,9,BUF-8,
1213),30.9,1.9,9,GB -10,
1214),30.5,1.9,9,RAI-5,
1215),29.2,1.8,9,SD -7,
1216),28.9,1.8,8,KC -7,
1217),26.1,1.6,8,WAS-10,
1218),24.9,1.6,6,NE -9,
1219),24.9,1.6,6,DET-5,
1220),24.4,1.5,5,NYG-11,
1221),22.4,1.4,4,DAL-5,
1222),20.6,1.3,3,TB -5,
1223),18.8,1.2,2,ATL-7,
1224),18.5,1.2,2,CAR-6,
1225),17.6,1.1,1,PHI-7,
1226),17,1.1,12,JAC-6,
1227),2.6,0.2,2,IND-4,