1),187.7,11.7,33,NO -6,"Brees, Drew"
2),185.9,12.4,28,GB -10,"Rodgers, Aaron"
3),171,10.7,35,NE -9,"Brady, Tom"
4),154.3,9.6,23,CAR-6,"Newton, Cam"
5),149.5,9.3,24,DET-5,"Stafford, Matthew"
6),129.1,8.1,31,NYG-11,"Manning, Eli"
7),127.5,8,32,DAL-5,"Romo, Tony"
8),114.6,7.2,27,ATL-7,"Ryan, Matt"
9),114.6,7.2,30,SD -7,"Rivers, Philip"
10),108,8.3,32,PHI-7,"Vick, Michael"
11),101.7,6.8,30,PIT-4,"Roethlisberger, Ben"
12),90,5.6,28,SF -9,"Smith(SF), Alex"
13),87.7,5.5,29,BUF-8,"Fitzpatrick, Ryan"
14),82.7,5.2,36,TEN-11,"Hasselbeck, Matt"
15),80.3,5,24,CIN-8,"Dalton, Andy"
16),78.4,5.2,24,TB -5,"Freeman, Josh"
17),75.3,4.7,27,BAL-8,"Flacco, Joe"
18),74.8,4.7,25,NYJ-9,"Sanchez, Mark"
19),72.9,7.3,31,HOU-8,"Schaub, Matt"
20),64.3,6.4,32,RAI-5,"Palmer, Carson"
21),64.2,4.6,25,NYJ-9,"Tebow, Tim"
22),64.1,4.3,29,SEA-11,"Jackson, Tarvaris"
23),58.1,4.5,28,MIA-7,"Moore, Matt"
24),56.8,5.7,29,CHI-6,"Cutler, Jay"
25),54.7,4.2,26,CLE-10,"McCoy, Colt"
26),53.1,4.1,32,WAS-10,"Grossman, Rex"
27),43.6,4.8,28,ARI-10,"Kolb, Kevin"
28),41.4,3.8,24,MIN-11,"Ponder, Christian"
29),38.2,4.8,24,ARI-10,"Skelton, John"
30),35.4,3.9,30,KC -7,"Cassel, Matt"
31),34.3,3.8,29,DAL-5,"Orton, Kyle"
32),31.9,5.3,30,CHI-6,"Campbell, Jason"
33),27.2,6.8,27,JAC-6,"Henne, Chad"
34),26.5,2.7,24,STL-9,"Bradford, Sam"
35),25.4,2.8,27,BAL-8,"Painter, Curtis"
36),22.4,1.5,22,JAC-6,"Gabbert, Blaine"
37),22.3,2.8,29,TB -5,"Orlovsky, Dan"
38),21.1,4.2,24,TEN-11,"Locker, Jake"
39),19.6,4.9,31,HOU-8,"Beck, John"
40),19,3.2,25,HOU-8,"Yates, T.J."
41),17.4,1.6,25,MIN-11,"Webb, Joe"
42),17,3.4,27,SEA-11,"Flynn, Matt"
43),16.5,2.8,29,BUF-8,"Young, Vince"
44),13.8,4.6,29,STL-9,"Clemens, Kellen"
45),11,1.8,32,CLE-10,"Wallace, Seneca"
46),10.9,3.6,33,CHI-6,"McCown, Josh"
47),7.4,1.2,26,DEN-7,"Hanie, Caleb"
48),5.3,5.3,26,DAL-5,"McGee, Stephen"
49),5.1,0.6,26,SF -9,"Johnson, Josh"
50),3.8,0.9,37,PIT-4,"Batch, Charlie"
51),2.5,0.8,30,SD -7,"Whitehurst, Charlie"
52),2,0.4,35,ATL-7,"Redman, Chris"
53),1.9,1,29,RAI-5,"Leinart, Matt"
54),1.1,0.5,29,CIN-8,"Gradkowski, Bruce"
55),0.8,0.4,32,DET-5,"Hill, Shaun"
56),0.7,0.2,23,BAL-8,"Taylor, Tyrod"
57),0.4,0.1,24,SF -9,"Kaepernick, Colin"
58),0.1,0,25,NO -6,"Daniel, Chase"
59),0,0,26,NE -9,"Hoyer, Brian"
60),,,28,JAC-6,"Palmer, Jordan"
61),,,22,CLE-10,"Weeden, Brandon(1)"
62),,,27,KC -7,"Quinn, Brady"
63),,,22,DEN-7,"Osweiler, Brock(2)"
64),,,28,IND-4,"Stanton, Drew"
65),,,25,TEN-11,"Smith, Rusty"
66),,,36,DEN-7,"Manning, Peyton"
67),,,22,IND-4,"Luck, Andrew(1)"
68),,,22,IND-4,"Harnish, Chandler(7)"
69),,,24,KC -7,"Stanzi, Ricky"
70),,,23,RAI-5,"Pryor, Terrell"
71),,,34,MIN-11,"Rosenfels, Sage"
72),,,22,MIA-7,"Tannehill, Ryan(1)"
73),,,24,NE -9,"Mallett, Ryan"
74),,,33,NYG-11,"Carr, David"
75),,,22,PHI-7,"Foles, Nick(3)"
76),,,32,PIT-4,"Leftwich, Byron"
77),,,22,SEA-11,"Wilson, Russell(3)"
78),,,22,WAS-10,"Griffin, Robert(1)"
79),,,24,CAR-6,"Clausen, Jimmy"
80),,,34,MIA-7,"Garrard, David"
81),,,22,DET-5,"Moore, Kellen"
82),,,27,GB -10,"Harrell, Graham"
83),-0.2,-0.1,25,PHI-7,"Kafka, Mike"
84),-0.4,-0.2,29,CAR-6,"Anderson, Derek"
85),-0.5,-0.5,27,STL-9,"Brandstater, Tom"
86),-1.3,-0.3,31,NO -6,"McCown, Luke"