292),89.8,5.6,23,NE -9,"Gronkowski, Rob"
293),81.7,5.1,25,NO -6,"Graham, Jimmy"
294),60.1,4.3,22,NE -9,"Hernandez, Aaron"
295),58.5,3.7,30,DAL-5,"Witten, Jason"
296),58,3.6,36,ATL-7,"Gonzalez, Tony"
297),52.7,3.3,27,DET-5,"Pettigrew, Brandon"
298),50.9,3.9,32,SD -7,"Gates, Antonio"
299),49.8,3.1,27,PHI-7,"Celek, Brent"
300),49.7,3.1,25,GB -10,"Finley, Jermichael"
301),49.1,3.1,27,NYJ-9,"Keller, Dustin"
302),48.9,3.1,28,SF -9,"Davis, Vernon"
303),46.4,2.9,29,SEA-11,"Winslow, Kellen"
304),45.1,3.8,26,WAS-10,"Davis, Fred"
305),40.9,2.7,29,HOU-8,"Daniels, Owen"
306),40.2,2.5,25,TEN-11,"Cook, Jared"
307),39.5,2.8,24,CIN-8,"Gresham, Jermaine"
308),36.9,2.3,25,BAL-8,"Dickson, Ed"
309),36.2,2.3,29,PIT-4,"Miller, Heath"
310),34.3,2.1,27,CAR-6,"Olsen, Greg"
311),29.4,2,28,MIA-7,"Fasano, Anthony"
312),28.1,1.9,32,CAR-6,"Shockey, Jeremy"
313),27.7,2,27,BUF-8,"Chandler, Scott"
314),27.2,1.7,27,BAL-8,"Pitta, Dennis"
315),26.2,1.7,28,JAC-6,"Lewis, Marcedes"
316),25.8,2,31,CLE-10,"Watson, Benjamin"
317),25.7,1.6,30,DEN-7,"Dreessen, Joel"
318),25.5,1.7,29,DET-5,"Scheffler, Tony"
319),23.8,1.5,27,CLE-10,"Moore, Evan"
320),23.3,1.7,28,KC -7,"Boss, Kevin"
321),21.4,1.9,33,TB -5,"Clark, Dallas"
322),19.2,1.2,29,ARI-10,"King, Jeff"
323),18.2,1.2,22,MIN-11,"Rudolph, Kyle"
324),17.5,1.2,24,STL-9,"Kendricks, Lance"
325),17.1,1.7,32,ARI-10,"Heap, Todd"
326),16.8,1.1,26,CHI-6,"Davis, Kellen"
327),16.8,1.1,33,SD -7,"McMichael, Randy"
328),15.7,1,28,PIT-4,"Pope, Leonard"
329),14.6,1,28,SF -9,"Walker, Delanie"
330),14.3,1,26,SEA-11,"Miller(Sea), Zach"
331),11.9,0.7,27,DEN-7,"Tamme, Jacob"
332),10.1,0.6,25,PHI-7,"Harbor, Clay"
333),9.4,0.6,28,TEN-11,"Stevens, Craig"
334),9.2,0.6,27,RAI-5,"Myers, Brandon"
335),9.2,0.7,25,NYG-11,"Bennett, Martellus"
336),8,0.5,25,DAL-5,"Phillips, John"
337),7.8,0.5,26,NYG-11,"Pascoe, Bear"
338),6.1,0.4,24,TB -5,"Stocker, Luke"
339),5.9,0.4,24,ATL-7,"Palmer, Michael"
340),5.4,0.4,28,CHI-6,"Spaeth, Matt"
341),4.7,0.6,24,STL-9,"Hoomanawanui, Michael"
342),4.1,0.8,30,WAS-10,"Cooley, Chris"
343),3.5,0.9,27,JAC-6,"Miller(Jac), Zach"
344),2,0.2,23,GB -10,"Quarless, Andrew"
345),1.8,0.6,25,NYJ-9,"Cumberland, Jeff"
346),1.6,0.3,29,NO -6,"Thomas, David"
347),1.2,0.1,24,BUF-8,"Smith, Lee"
348),1.2,0.2,26,HOU-8,"Graham, Garrett"
349),0.7,0.1,24,RAI-5,"Ausberry, David"
350),,,22,IND-4,"Fleener, Coby(2)"
351),,,22,IND-4,"Allen, Dwayne(3)"
352),,,25,KC -7,"Moeaki, Tony"
353),,,22,MIA-7,"Egnew, Michael(3)"
354),,,28,MIN-11,"Carlson, John"